battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
26,False,Seara,Cheongpung,Nephthys,Pater,Jager,None,Pater,Seara,Jager,Giana,Ragdoll,Molly,Celia,Fran,Giana,None,Celia,Fran,2021-01-06 17:48:27,杰咪爸,砖头硬邦邦
27,True,Nephthys,Tetra,Cheongpung,Jager,Ragdoll,None,Jager,Nephthys,Ragdoll,Giana,Molly,MoLong,Okeanos,Icares,Giana,None,MoLong,Icares,2021-01-06 17:39:17,杰咪爸,secondbaby
28,True,Giana,Cheongpung,Ragdoll,Molly,Nephthys,Giana,None,Giana,Nephthys,Seara,Fran,Verdehile,Yeonhong,Laika,None,Laika,Seara,Laika,2021-01-06 11:17:41,杰咪爸,BabyDarkness
29,True,Seara,Ragdoll,Molly,Cheongpung,Nephthys,None,Nephthys,Seara,Nephthys,Giana,Verdehile,MoLong,Yeonhong,Fran,Giana,None,MoLong,Fran,2021-01-06 11:12:49,杰咪爸,BabyDarkness
30,True,Cheongpung,Molly,Ragdoll,Jager,Giana,Giana,None,Jager,Giana,Fran,Verdehile,Yeonhong,MoLong,Seara,None,MoLong,MoLong,Seara,2021-01-07 12:59:47,杰咪爸,BabyDarkness
31,True,Giana,Cheongpung,Ragdoll,Nephthys,Jager,Giana,None,Nephthys,Jager,Seara,Okeanos,Molly,Juno,Tetra,None,Tetra,Seara,Tetra,2021-01-07 12:56:37,杰咪爸,ZeroCai2020
32,True,Giana,Cheongpung,Ragdoll,Nephthys,Jager,Giana,None,Nephthys,Jager,Okeanos,Chiwu,Molly,Juno,Seara,None,Juno,Chiwu,Seara,2021-01-07 12:52:59,杰咪爸,ZeroCai2020
33,False,Giana,Seara,Cheongpung,Nephthys,TianLang,Giana,None,Seara,TianLang,Molly,Ragdoll,Jager,Juno,Okeanos,None,Juno,Juno,Okeanos,2021-01-07 12:49:35,杰咪爸,TrueWhale
34,False,Cheongpung,Jager,Molly,Leo,Ragdoll,Cheongpung,None,Jager,Ragdoll,Chiwu,Bellenus,Poseidon,Lushen,Bastet,None,Lushen,Chiwu,Bastet,2021-01-07 12:45:40,杰咪爸,ぺろにんじゃ
35,False,Jager,Molly,Seara,Leo,Ragdoll,None,Leo,Jager,Ragdoll,Chiwu,Cheongpung,Bellenus,Poseidon,Bastet,Chiwu,None,Chiwu,Bastet,2021-01-07 12:43:58,杰咪爸,ぺろにんじゃ
36,False,Jager,Molly,Seara,Nephthys,Cheongpung,None,Nephthys,Jager,Cheongpung,Giana,Okeanos,MoLong,Savannah,Icares,Giana,None,Okeanos,Icares,2021-01-07 12:41:27,杰咪爸,肥大！使用飾拳
37,True,Molly,Jager,Nephthys,Ragdoll,Giana,Giana,None,Jager,Giana,Seara,Okeanos,Vigor,Yeonhong,Cheongpung,None,Yeonhong,Seara,Cheongpung,2021-01-07 12:36:09,杰咪爸,UT.10
