#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
0,6,NL,PinkRoid~,1533,71,19,0,1,90,0.7888888888888881
1,1,KR,secondbaby,1505,73,28,0,2,101,0.7227722772277221
2,4,US,Ex|Shizzy,1488,52,16,0,3,68,0.764705882352941
3,3,CN,杰咪爸,1483,56,17,0,4,73,0.7671232876712321
4,1,KR,삞싥뭃,1480,64,24,1,5,89,0.719101123595505
5,6,NL,Seiishizo,1475,52,17,0,6,69,0.753623188405797
6,4,UY,Elmimo,1474,62,25,0,7,87,0.712643678160919
7,3,CN,帅狗奥特曼,1463,42,9,0,8,51,0.8235294117647051
8,5,TH,HONG_KFC,1463,64,27,0,8,91,0.703296703296703
9,4,US,TopaV,1451,46,14,0,10,60,0.766666666666666
10,4,US,TrueWhale,1440,45,15,0,11,60,0.75
11,6,US,Bor@m,1437,52,21,0,12,73,0.7123287671232871
12,4,US,KĪRĪN_,1437,44,15,0,12,59,0.745762711864406
13,6,DE,Raxxaz~,1437,48,20,0,12,68,0.7058823529411761
14,1,KR,°빛대,1436,63,31,0,15,94,0.670212765957446
15,1,KR,알테프사,1433,61,31,0,16,92,0.6630434782608691
16,2,JP,えれま,1432,52,23,0,17,75,0.693333333333333
17,5,VN,BabyDarkness,1431,61,29,0,18,90,0.677777777777777
18,6,GB,Taniss,1431,44,16,0,18,60,0.7333333333333331
19,5,MY,JinYao,1431,61,29,0,18,90,0.677777777777777
20,1,KR,삞댥챦,1431,55,25,0,18,80,0.6875
21,1,KR,HWAN!,1430,60,30,0,22,90,0.6666666666666661
22,3,CN,Ꮤ﹏椛落✿知秋,1429,43,17,0,23,60,0.716666666666666
23,5,TW,三玖は俺の嫁,1424,60,30,0,24,90,0.6666666666666661
24,4,CA,Faintmemory,1422,38,14,0,25,52,0.7307692307692301
25,2,JP,うま(￣◇￣;),1421,51,23,0,26,74,0.689189189189189
26,6,FR,1piss,1420,40,15,0,27,55,0.7272727272727271
27,2,JP,MiranღNoah,1419,34,8,0,28,42,0.8095238095238091
28,1,KR,서빈마마,1419,67,36,0,28,103,0.650485436893203
29,4,CA,Raii!,1419,59,31,0,28,90,0.655555555555555
30,3,MO,欧洲萌新自在℡,1419,29,4,0,28,33,0.8787878787878781
31,4,US,FlagBearer,1417,42,15,0,32,57,0.7368421052631571
32,1,KR,#Maximus,1417,60,30,0,32,90,0.6666666666666661
33,4,CR,_Dr.Nalga_,1416,41,15,0,34,56,0.7321428571428571
34,1,KR, 레오나 ,1416,63,34,0,34,97,0.649484536082474
35,6,BT,VanessaPlease~,1413,49,22,0,36,71,0.6901408450704221
36,3,CN,航爷变戏法,1412,52,25,0,37,77,0.6753246753246751
37,5,TH,Krom`z,1412,59,31,0,37,90,0.655555555555555
38,3,CN,呆橘不发呆,1411,55,29,0,39,84,0.6547619047619041
39,5,TH,YєoɴHonG-187,1411,59,31,0,39,90,0.655555555555555
40,1,KR,Luckygod!,1411,52,25,0,39,77,0.6753246753246751
41,4,CA,Raigeki!,1411,36,11,0,39,47,0.7659574468085101
42,6,FR,ELDEAU,1410,54,27,0,43,81,0.6666666666666661
43,1,KR,바니횽,1410,49,22,0,43,71,0.6901408450704221
44,3,CN,哎艾哎,1410,47,22,0,43,69,0.6811594202898551
45,4,FR,Acn0vа,1410,56,32,0,43,88,0.636363636363636
46,1,KR,#미업,1409,46,20,0,47,66,0.696969696969697
47,6,NL,ThatAapje~,1409,59,31,0,47,90,0.655555555555555
48,5,TH,Odizzy,1409,62,32,0,47,94,0.659574468085106
49,3,CN,吴迪他来了,1409,51,28,0,47,79,0.645569620253164
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931
51,5,VN,78M-81Q,1408,58,32,0,51,90,0.644444444444444
52,2,JP,おんちゃ,1408,32,9,0,51,41,0.780487804878048
53,1,KR,정현찡,1408,59,31,0,51,90,0.655555555555555
54,4,BR,DanieIKarioKa,1408,39,15,0,51,54,0.7222222222222221
55,4,US,DDSquirtle,1407,45,20,0,56,65,0.6923076923076921
56,4,NL,monkzera_,1407,50,25,0,56,75,0.6666666666666661
57,4,MY,Lee-A-Z,1407,54,30,0,56,84,0.642857142857142
58,6,FR,Albuza,1407,54,26,0,56,80,0.675
59,2,JP,jerryチュウタ,1407,39,15,0,56,54,0.7222222222222221
60,1,KR,PRO༊,1407,60,32,0,56,92,0.652173913043478
61,2,JP,XカブレラX,1407,69,41,0,56,110,0.6272727272727271
62,3,CN,家有仙女xxy.,1407,46,21,0,56,67,0.686567164179104
63,6,FI,fallenwizard,1406,55,31,0,64,86,0.63953488372093
64,5,TH,Nickcłas,1405,38,14,0,65,52,0.7307692307692301
65,5,TH,丂ﾉ尺ﾑ,1405,59,32,0,65,91,0.648351648351648
