#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
0,6,NL,PinkRoid~,1694,122,28,0,1,150,0.813333333333333
1,1,KR,secondbaby,1650,109,32,0,2,141,0.77304964539007
2,1,KR,삞싥뭃,1613,103,32,1,3,136,0.75735294117647
3,4,US,Ex|Shizzy,1564,80,25,0,4,105,0.7619047619047611
4,6,DE,Raxxaz~,1556,81,30,0,5,111,0.729729729729729
5,4,US,Duhstin,1556,86,34,0,5,120,0.716666666666666
6,5,TH,HONG_KFC,1552,105,45,0,7,150,0.7000000000000001
7,6,NL,Seiishizo,1533,85,30,0,8,115,0.7391304347826081
8,3,MO,欧洲萌新自在℡,1526,60,17,0,9,77,0.779220779220779
9,3,CN,杰咪爸,1523,85,31,0,10,116,0.732758620689655
10,4,UY,Elmimo,1518,85,34,1,11,120,0.708333333333333
11,5,TH,YєoɴHonG-187,1516,95,46,0,12,141,0.673758865248226
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618
13,5,TH,Krom`z,1510,93,47,1,14,141,0.659574468085106
14,4,US,TrueWhale,1507,75,31,0,15,106,0.70754716981132
15,3,CN,帅狗奥特曼,1506,56,15,0,16,71,0.788732394366197
16,1,KR,°핏빛슬라임,1502,63,26,0,17,89,0.707865168539325
17,3,CN,砖头硬邦邦,1500,46,9,0,18,55,0.8363636363636361
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547
19,4,US,TopaV,1497,84,36,0,20,120,0.7000000000000001
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018
21,2,JP,きらぱみん✩*,1487,94,56,0,22,150,0.626666666666666
22,4,SE,Catch~,1484,78,42,0,23,120,0.65
23,5,TW,冥神GOD,1482,79,40,0,24,119,0.663865546218487
24,5,TW,/喵喵/,1481,90,47,0,25,137,0.656934306569343
25,3,CN,Himiko.,1481,87,49,0,25,136,0.639705882352941
26,5,SG,-RememberYS-,1478,81,45,1,27,127,0.637795275590551
27,2,JP,UT.10,1477,81,43,0,28,124,0.6532258064516121
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661
29,3,CN,呆橘不发呆,1477,68,34,0,28,102,0.6666666666666661
30,4,US,FlagBearer,1475,67,30,0,31,97,0.6907216494845361
31,2,JP,まつ@げりらじ,1475,68,31,0,31,99,0.6868686868686861
32,6,FR,Rosith,1471,48,15,0,33,63,0.7619047619047611
33,1,KR,아칸-,1471,69,32,0,33,101,0.683168316831683
34,2,JP,MiranღNoah,1470,60,25,0,35,85,0.7058823529411761
35,2,JP,ロトねこ,1469,59,25,0,36,84,0.7023809523809521
36,3,CN,⚕⚕至尊寶⚕⚕,1469,94,56,0,36,150,0.626666666666666
37,6,GB,Taniss,1468,63,27,0,38,90,0.7000000000000001
38,1,KR,°빛대,1467,96,54,0,39,150,0.64
