#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
88,3,CN,砖头软趴趴,1542,120,71,0,89,191,0.6282722513089001
89,3,CN,娄帅帅,1542,85,36,0,89,121,0.7024793388429751
90,4,FR,/BonTemps/,1542,182,126,0,89,308,0.59090909090909
91,4,TW,Ö　　　　　Ö,1542,69,26,0,89,95,0.726315789473684
92,4,US,Qdizzle3,1541,161,117,0,93,278,0.5791366906474821
93,3,CN,弃坑的傻大梅子,1540,105,64,0,94,169,0.6213017751479291
94,3,CN,o0从麟开始0o,1540,156,101,0,94,257,0.607003891050583
95,3,CN,明天就弃坑、,1538,102,57,0,96,159,0.641509433962264
96,1,KR,베니09,1538,146,88,0,96,234,0.623931623931623
97,6,DE,Syvar,1536,148,99,0,98,247,0.599190283400809
98,3,CN,半只青蛙跳,1536,118,73,0,98,191,0.6178010471204181
99,5,TH,Nickcłas,1534,142,77,0,100,219,0.648401826484018
