#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
77,2,JP,ミル☻ミル®,1510,82,42,0,75,124,0.661290322580645
78,2,JP,マスターN44,1509,86,44,0,79,130,0.6615384615384611
79,1,KR,삞힗찶,1508,124,80,0,80,204,0.607843137254901
80,1,KR,애정가득섬린이,1508,109,63,0,80,172,0.633720930232558
81,4,KR,Fenrir♂,1508,117,73,0,80,190,0.61578947368421
82,6,FI,Viilipytty,1508,129,81,0,80,210,0.6142857142857141
83,3,CN,Ꮤ﹏椛落✿知秋,1508,107,62,0,80,169,0.633136094674556
84,3,CN,俏皮可爱小安静,1508,118,71,0,80,189,0.6243386243386241
85,2,JP,シモテ(乂Дィ),1507,86,45,0,86,131,0.65648854961832
86,4,CR,_Dr.Nalga_,1507,86,41,0,86,127,0.677165354330708
87,5,VN,BabyDarkness,1507,137,87,0,86,224,0.611607142857142
88,1,KR,막시무스.,1507,128,78,0,86,206,0.62135922330097
89,6,DE,Łivert,1506,118,76,0,90,194,0.6082474226804121
90,4,AU,Patisaur,1506,81,40,0,90,121,0.669421487603305
91,5,HK,★STAN㊋,1506,107,60,0,90,167,0.640718562874251
92,2,JP,アイアム貝,1505,66,27,0,93,93,0.7096774193548381
93,2,JP,パデオ,1505,101,58,0,93,159,0.635220125786163
94,4,CA,Enylem,1505,129,81,0,93,210,0.6142857142857141
95,1,KR,정현찡,1505,140,92,0,93,232,0.6034482758620691
96,3,CN,吴迪他来了,1504,90,51,0,97,141,0.638297872340425
97,1,KR,HWAN!,1504,131,79,0,97,210,0.623809523809523
98,5,TH,OhBIGz`zp,1504,104,62,0,97,166,0.626506024096385
99,5,TH,D-Xanxus,1504,93,53,0,97,146,0.636986301369863
