battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
80,True,Seara,Amelia,Vanessa,Fran,Barbara,None,Barbara,Vanessa,Barbara,Okeanos,Daphnis,Elenoa,Velajuel,Cheongpung,Okeanos,None,Okeanos,Cheongpung,2021-01-09 11:10:46,Viilipytty,Nect
81,False,Ganymede,Fran,Amelia,Rica,Seara,Seara,None,Fran,Seara,Moore/WaterRYU,Savannah,Chiwu,Barbara,Okeanos,None,Barbara,Chiwu,Okeanos,2021-01-09 10:54:53,Viilipytty,俏皮可爱小安静
82,False,Seara,Fran,Rica,Vigor,Amelia,Seara,None,Seara,Amelia,Okeanos,Ganymede,Velajuel,Savannah,Moore/WaterRYU1,None,Savannah,Velajuel,Moore/WaterRYU1,2021-01-09 10:51:12,Viilipytty,PinkRoid~
83,False,Seara,Fran,Ganymede,Rica,Racuni,Seara,None,Seara,Racuni,Moore/WaterRYU,Giana,Cheongpung,Jamire,Okeanos,None,Jamire,Jamire,Okeanos,2021-01-09 10:48:11,Viilipytty,HONG_KFC
84,True,Okeanos,Ganymede,Rica,Ethna,Vanessa,None,Ethna,Ethna,Vanessa,Seara,Barbara,Yeonhong,Fran,Giana,Seara,None,Seara,Giana,2021-01-09 10:43:32,Viilipytty,24EVER_R
85,True,Vanessa,Okeanos,Fran,Shan,Ganymede,None,Shan,Vanessa,Ganymede,Molly,Juno,Verdehile,Josephine,Seara,Seara,None,Josephine,Seara,2021-01-09 10:39:59,Viilipytty,huỳnhdị
86,False,Seara,Ganymede,Fran,Vigor,Amelia,Seara,None,Seara,Amelia,Okeanos,Ragdoll,Vanessa,Lulu,Bolverk,None,Bolverk,Vanessa,Bolverk,2021-01-09 10:35:09,Viilipytty,渣男锡纸烫®
87,True,Barbara,Ganymede,Rica,XingZhe,Seara,None,XingZhe,XingZhe,Seara,Savannah,Moore/WaterRYU1,Triton,ShiHou,Okeanos,Okeanos,None,Moore/WaterRYU1,Okeanos,2021-01-09 10:29:45,Viilipytty,Alzaher
88,True,Vanessa,Okeanos,Ganymede,Fran,Sian,None,Sian,Vanessa,Sian,Seara,Molly,Vigor,Ragdoll,Juno,Seara,None,Seara,Juno,2021-01-09 10:26:06,Viilipytty,scottle®
89,False,Okeanos,Ganymede,XingZhe,Savannah,Fran,None,Savannah,XingZhe,Fran,Seara,Cheongpung,Moore/WaterRYU1,Velajuel,Daphnis,Seara,None,Seara,Daphnis,2021-01-09 10:22:02,Viilipytty,°핏빛슬라임
90,True,Seara,Ganymede,Chow,Camilla,Fran,Seara,None,Seara,Fran,Okeanos,Vanessa,Cheongpung,Velajuel,XingZhe,None,XingZhe,Vanessa,XingZhe,2021-01-09 10:17:34,Viilipytty,°핏빛슬라임
91,True,Seara,Okeanos,Eshir,XingZhe,Juno,None,Juno,Seara,Juno,Ganymede,Woonsa,Shimitae,Cheongpung,Rica,Ganymede,None,Shimitae,Rica,2021-01-09 10:13:34,Viilipytty,RD_Wars
92,False,Barbara,Eshir,Ganymede,XingZhe,Seara,None,XingZhe,XingZhe,Seara,Vanessa,Moore/WaterRYU,Cheongpung,Ethna,Okeanos,Okeanos,None,Vanessa,Okeanos,2021-01-09 10:11:36,Viilipytty,HONG_KFC
93,True,Okeanos,Barbara,Eshir,XingZhe,Seara,None,XingZhe,XingZhe,Seara,Moore/WaterRYU1,Ganymede,Iselia,Psamathe,Ethna,Moore/WaterRYU1,None,Psamathe,Ethna,2021-01-09 09:15:46,Viilipytty,神通・改二
94,True,Seara,Fran,Okeanos,Ganymede,Taranys,None,Taranys,Ganymede,Taranys,Molly,Ragdoll,MoLong,Icares,Bolverk,Molly,None,MoLong,Bolverk,2021-01-09 09:11:39,Viilipytty,[symp]Abarai
95,False,Okeanos,Ganymede,Fran,Seara,Sian,Okeanos,None,Seara,Sian,Ragdoll,Molly,Juno,Verdehile,Velajuel,None,Velajuel,Juno,Velajuel,2021-01-09 12:05:19,Viilipytty,༺RYOEI༻
96,True,Seara,Okeanos,Savannah,Rica,Ganymede,Seara,None,Seara,Ganymede,Fran,Hathor,Josephine,Velajuel,Verdehile,None,Velajuel,Hathor,Verdehile,2021-01-09 12:00:33,Viilipytty,Bʀʏᴀɴ✨
97,True,Fran,Vanessa,Rica,Seara,Okeanos,Okeanos,None,Vanessa,Okeanos,MoLong,Harmonia,Artamiel,Leo,Amelia,None,Amelia,MoLong,Amelia,2021-01-09 11:57:14,Viilipytty,呆萌可达鸭
98,True,Okeanos,Ganymede,Shan,Ethna,Rica,None,Rica,Ethna,Rica,Moore/WaterRYU1,Verdehile,Masha,Leo,Seara,Seara,None,Moore/WaterRYU1,Seara,2021-01-09 11:51:27,Viilipytty,Chewiesz
99,True,Okeanos,Seara,Ganymede,Juno,XingZhe,Okeanos,None,Seara,XingZhe,Moore/WaterRYU1,Cheongpung,Bernadotte/KEN,Barbara,Nephthys,None,Barbara,Moore/WaterRYU1,Nephthys,2021-01-09 11:47:40,Viilipytty,東方無敵
100,True,Seara,Ganymede,Fran,Barbara,Rica,Seara,None,Seara,Rica,Vanessa,Savannah,Chiwu,Vigor,Okeanos,None,Vigor,Vanessa,Okeanos,2021-01-09 11:44:34,Viilipytty,白馒头+黑木耳
101,True,Okeanos,Bolverk,Savannah,Ganymede,Seara,Okeanos,None,Ganymede,Seara,Wedjat,Molly,MoLong,FengYan,Douglas/FireRYU1,None,Douglas/FireRYU1,Wedjat,Douglas/FireRYU1,2021-01-09 11:39:35,Viilipytty,NUKOTA
102,True,Okeanos,Ganymede,Barbara,Shan,Seara,Okeanos,None,Shan,Seara,Chiwu,Vigor,Triton,Poseidon,Savannah,None,Poseidon,Chiwu,Savannah,2021-01-09 11:35:19,Viilipytty,白馒头+黑木耳
103,True,Okeanos,Seara,Barbara,XingZhe,Savannah,Okeanos,None,Seara,Savannah,Ganymede,Moore/WaterRYU1,Ethna,Fran,Sian,None,Sian,Moore/WaterRYU1,Sian,2021-01-09 11:31:00,Viilipytty,JinYao
104,True,Seara,Okeanos,Juno,Vanessa,Eshir,Seara,None,Vanessa,Eshir,Tablo,Giana,Cheongpung,Ethna,Tyron,None,Tyron,Tablo,Tyron,2021-01-09 11:27:49,Viilipytty,Manlikeluke
105,False,Okeanos,Ganymede,Fran,Bolverk,Vigor,None,Bolverk,Ganymede,Vigor,Molly,Juno,MeiHouWang,Woosa,XingZhe,Molly,None,Juno,XingZhe,2021-01-09 11:22:40,Viilipytty,桜@SWG
106,True,Okeanos,Seara,Eshir,Fran,Juno,Okeanos,None,Seara,Juno,Tablo,Bastet,Thrain,Rica,Moore/WaterRYU,None,Moore/WaterRYU,Bastet,Moore/WaterRYU,2021-01-09 11:19:34,Viilipytty,OOE༒云༣
107,False,Seara,Vigor,Eshir,Shan,Ethna,None,Shan,Seara,Ethna,Okeanos,Cheongpung,Han,Asima,Bering,Okeanos,None,Okeanos,Bering,2021-01-09 11:16:43,Viilipytty,꧁KẹoNgọt꧂
108,False,Ganymede,Fran,Ethna,Rica,Okeanos,None,Rica,Fran,Okeanos,Seara,Chiwu,Barbara,Masha,Cheongpung,Seara,None,Seara,Cheongpung,2021-01-09 11:13:57,Viilipytty,LuckyTonkatsu
