battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
84,False,Ganymede,Vanessa,Cheongpung,Yeonhong,Okeanos,Okeanos,None,Vanessa,Okeanos,Chiwu,Masha,Seara,Velajuel,Barbara,None,Velajuel,Chiwu,Barbara,2021-01-09 02:01:17,°빛대,Judas
85,True,Okeanos,Ganymede,Seara,Vanessa,Cheongpung,Okeanos,None,Vanessa,Cheongpung,Chiwu,Barbara,Masha,Jamire,Velajuel,None,Velajuel,Jamire,Velajuel,2021-01-09 01:56:59,°빛대,Judas
86,True,Okeanos,Ganymede,Cheongpung,Rica,Vanessa,Okeanos,None,Rica,Vanessa,Giana,Chiwu,Verdehile,Felleria,Seara,None,Felleria,Chiwu,Seara,2021-01-09 01:52:10,°빛대,zBeCooL
87,False,Okeanos,Ganymede,Yeonhong,Vanessa,Cheongpung,Okeanos,None,Vanessa,Cheongpung,Seara,Vigor,Fran,Anavel,Ragdoll,None,Anavel,Seara,Ragdoll,2021-01-09 01:48:56,°빛대,家里有匹小野马
88,True,Okeanos,Ganymede,Cheongpung,Yeonhong,Vigor,None,Vigor,Ganymede,Vigor,Molly,Velajuel,Verdehile,Sekhmet,Ragdoll,Molly,None,Velajuel,Ragdoll,2021-01-09 01:44:12,°빛대,Poke☆DURIANッ
89,False,Ganymede,Cheongpung,Vanessa,Yeonhong,Okeanos,None,Yeonhong,Vanessa,Okeanos,Seara,Fran,Chiwu,Antares,Verdehile,Seara,None,Seara,Verdehile,2021-01-09 01:39:28,°빛대,-Tnnnn-_
90,False,Ganymede,Cheongpung,Yeonhong,Chiwu,Okeanos,None,Chiwu,Chiwu,Okeanos,Seara,Vanessa,Fran,Antares,Verdehile,Seara,None,Vanessa,Verdehile,2021-01-09 01:36:22,°빛대,-Tnnnn-_
91,True,Okeanos,Ganymede,Cheongpung,Yeonhong,Tesarion,Okeanos,None,Ganymede,Tesarion,Vigor,Molly,Juno,MeiHouWang,Verdehile,None,MeiHouWang,MeiHouWang,Verdehile,2021-01-09 04:41:04,°빛대,Monkey`man〠
92,True,Okeanos,Cheongpung,Yeonhong,Diana,Chiwu,None,Diana,Yeonhong,Chiwu,Ganymede,Valantis,Lulu,Miho,QitianDasheng,Ganymede,None,Ganymede,QitianDasheng,2021-01-09 04:37:57,°빛대,Abel_Levi
93,False,Okeanos,Ganymede,Cheongpung,Yeonhong,Chiwu,None,Chiwu,Yeonhong,Chiwu,Seara,Velajuel,Moore/WaterRYU,Rica,Verdehile,Seara,None,Seara,Verdehile,2021-01-09 04:33:39,°빛대,ゆー☆ミ
